t_emm,TechType,EnergySource,DAC_BaseCap
2025,1,1,1985.815603
2026,1,1,1754.558205
2027,1,1,1528.432732
2028,1,1,1307.270233
2029,1,1,1090.909091
2030,1,1,879.1946309
2031,1,1,874.1706616
2032,1,1,869.1466922
2033,1,1,864.1227229
2034,1,1,859.0987536
2035,1,1,854.0747843
2036,1,1,849.050815
2037,1,1,844.0268456
2038,1,1,839.0028763
2039,1,1,833.978907
2040,1,1,828.9549377
2041,1,1,823.9309684
2042,1,1,818.906999
2043,1,1,813.8830297
2044,1,1,808.8590604
2045,1,1,803.8350911
2046,1,1,798.8111218
2047,1,1,793.7871524
2048,1,1,788.7631831
2049,1,1,783.7392138
2050,1,1,778.7152445
2030,1,2,947.0198675
2031,1,2,941.6083254
2032,1,2,936.1967833
2033,1,2,930.7852412
2034,1,2,925.3736991
2035,1,2,919.962157
2036,1,2,914.5506149
2037,1,2,909.1390728
2038,1,2,903.7275307
2039,1,2,898.3159886
2040,1,2,892.9044465
2041,1,2,887.4929044
2042,1,2,882.0813623
2043,1,2,876.6698202
2044,1,2,871.2582781
2045,1,2,865.846736
2046,1,2,860.4351939
2047,1,2,855.0236518
2048,1,2,849.6121097
2049,1,2,844.2005676
2050,1,2,838.7890255
