t_emm,TechType,EnergySource,NG_CCSf
2025,1,1,0.41
2026,1,1,0.426
2027,1,1,0.442
2028,1,1,0.458
2029,1,1,0.474
2030,1,1,0.49
2031,1,1,0.49
2032,1,1,0.49
2033,1,1,0.49
2034,1,1,0.49
2035,1,1,0.49
2036,1,1,0.49
2037,1,1,0.49
2038,1,1,0.49
2039,1,1,0.49
2040,1,1,0.49
2041,1,1,0.49
2042,1,1,0.49
2043,1,1,0.49
2044,1,1,0.49
2045,1,1,0.49
2046,1,1,0.49
2047,1,1,0.49
2048,1,1,0.49
2049,1,1,0.49
2050,1,1,0.49
2030,1,2,0.51
2031,1,2,0.51
2032,1,2,0.51
2033,1,2,0.51
2034,1,2,0.51
2035,1,2,0.51
2036,1,2,0.51
2037,1,2,0.51
2038,1,2,0.51
2039,1,2,0.51
2040,1,2,0.51
2041,1,2,0.51
2042,1,2,0.51
2043,1,2,0.51
2044,1,2,0.51
2045,1,2,0.51
2046,1,2,0.51
2047,1,2,0.51
2048,1,2,0.51
2049,1,2,0.51
2050,1,2,0.51
