DAC,DAC_Props_att,DAC_Props
1,EquityFraction,0.55
1,DebtFraction,0.45
1,DebtLife,10
1,TaxLife,10
1,EquipLife,10
1,Life,30
1,Beta,1.74
1,ProfiletoUse,3
2,EquityFraction,0.55
2,DebtFraction,0.45
2,DebtLife,10
2,TaxLife,10
2,EquipLife,10
2,Life,30
2,Beta,1.74
2,ProfiletoUse,3
Storage,EquityFraction,0.55
Storage,DebtFraction,0.45
Storage,DebtLife,15
Storage,TaxLife,15
Storage,EquipLife,30
Storage,Life,30
Storage,Beta,1.74
Storage,ProfiletoUse,5
1,CapFactor,0.9
1,CaptureRate,1
2,CapFactor,0.9
2,CaptureRate,1
