t_emm,TechType,EnergySource,Q_ng
2025,1,1,7.46
2026,1,1,7.718
2027,1,1,7.976
2028,1,1,8.234
2029,1,1,8.492
2030,1,1,8.75
2031,1,1,8.588
2032,1,1,8.426
2033,1,1,8.264
2034,1,1,8.102
2035,1,1,7.94
2036,1,1,7.778
2037,1,1,7.616
2038,1,1,7.454
2039,1,1,7.292
2040,1,1,7.13
2041,1,1,6.968
2042,1,1,6.806
2043,1,1,6.644
2044,1,1,6.482
2045,1,1,6.32
2046,1,1,6.158
2047,1,1,5.996
2048,1,1,5.834
2049,1,1,5.672
2050,1,1,5.51
2030,1,2,9.27
2031,1,2,9.2045
2032,1,2,9.139
2033,1,2,9.0735
2034,1,2,9.008
2035,1,2,8.9425
2036,1,2,8.877
2037,1,2,8.8115
2038,1,2,8.746
2039,1,2,8.6805
2040,1,2,8.615
2041,1,2,8.5495
2042,1,2,8.484
2043,1,2,8.4185
2044,1,2,8.353
2045,1,2,8.2875
2046,1,2,8.222
2047,1,2,8.1565
2048,1,2,8.091
2049,1,2,8.0255
2050,1,2,7.96
