Diameter,Miles,PumpNum
4.00,150.00,1.00
4.00,200.00,2.00
4.00,300.00,3.00
4.00,400.00,4.00
4.00,500.00,5.00
4.00,600.00,6.00
4.00,700.00,8.00
4.00,800.00,9.00
4.00,900.00,10.00
4.00,1000.00,11.00
6.00,25.00,0.00
6.00,50.00,0.00
6.00,75.00,0.00
6.00,100.00,1.00
6.00,150.00,1.00
6.00,200.00,2.00
6.00,300.00,3.00
6.00,400.00,4.00
6.00,500.00,6.00
6.00,600.00,7.00
6.00,700.00,8.00
6.00,800.00,9.00
6.00,900.00,11.00
6.00,1000.00,12.00
8.00,25.00,0.00
8.00,50.00,0.00
8.00,75.00,1.00
8.00,100.00,1.00
8.00,150.00,2.00
8.00,200.00,2.00
8.00,300.00,4.00
8.00,400.00,5.00
8.00,500.00,6.00
8.00,600.00,8.00
8.00,700.00,9.00
8.00,800.00,10.00
8.00,900.00,12.00
8.00,1000.00,13.00
12.00,25.00,0.00
12.00,50.00,1.00
12.00,75.00,1.00
12.00,100.00,2.00
12.00,150.00,3.00
12.00,200.00,4.00
12.00,300.00,6.00
12.00,400.00,9.00
12.00,500.00,11.00
12.00,600.00,13.00
12.00,700.00,16.00
12.00,800.00,18.00
12.00,900.00,20.00
12.00,1000.00,22.00
16.00,25.00,0.00
16.00,50.00,0.00
16.00,75.00,1.00
16.00,100.00,1.00
16.00,150.00,2.00
16.00,200.00,3.00
16.00,300.00,5.00
16.00,400.00,7.00
16.00,500.00,8.00
16.00,600.00,10.00
16.00,700.00,12.00
16.00,800.00,14.00
16.00,900.00,16.00
16.00,1000.00,17.00
20.00,25.00,0.00
20.00,50.00,0.00
20.00,75.00,0.00
20.00,100.00,0.00
20.00,150.00,1.00
20.00,200.00,1.00
20.00,300.00,2.00
20.00,400.00,2.00
20.00,500.00,3.00
20.00,600.00,4.00
20.00,700.00,5.00
20.00,800.00,5.00
20.00,900.00,6.00
20.00,1000.00,7.00
24.00,25.00,0.00
24.00,50.00,0.00
24.00,75.00,0.00
24.00,100.00,0.00
24.00,150.00,1.00
24.00,200.00,1.00
24.00,300.00,2.00
24.00,400.00,3.00
24.00,500.00,3.00
24.00,600.00,4.00
24.00,700.00,5.00
24.00,800.00,6.00
24.00,900.00,7.00
24.00,1000.00,7.00
30.00,25.00,0.00
30.00,50.00,0.00
30.00,75.00,0.00
30.00,100.00,0.00
30.00,150.00,0.00
30.00,200.00,1.00
30.00,300.00,1.00
30.00,400.00,2.00
30.00,500.00,2.00
30.00,600.00,3.00
30.00,700.00,3.00
30.00,800.00,4.00
30.00,900.00,4.00
30.00,1000.00,5.00
36.00,25.00,0.00
36.00,50.00,0.00
36.00,75.00,0.00
36.00,100.00,0.00
36.00,150.00,0.00
36.00,200.00,2.00
36.00,300.00,1.00
36.00,400.00,2.00
36.00,500.00,2.00
36.00,600.00,3.00
36.00,700.00,3.00
36.00,800.00,4.00
36.00,900.00,4.00
36.00,1000.00,5.00
42.00,25.00,0.00
42.00,50.00,0.00
42.00,75.00,0.00
42.00,100.00,0.00
42.00,150.00,0.00
42.00,200.00,1.00
42.00,300.00,2.00
42.00,400.00,2.00
42.00,500.00,3.00
42.00,600.00,4.00
42.00,700.00,4.00
42.00,800.00,5.00
42.00,900.00,6.00
42.00,1000.00,6.00
48.00,25.00,0.00
48.00,50.00,0.00
48.00,75.00,0.00
48.00,100.00,0.00
48.00,150.00,0.00
48.00,200.00,1.00
48.00,300.00,1.00
48.00,400.00,2.00
48.00,500.00,3.00
48.00,600.00,3.00
48.00,700.00,4.00
48.00,800.00,4.00
48.00,900.00,5.00
48.00,1000.00,6.00
4.00,25.00,0.00
4.00,50.00,0.00
4.00,75.00,0.00
4.00,100.00,1.00
