"ID","Period","Coeff","Value"
1,"PRE_OP","PREOP_IND",7.32
2,"PRE_OP","C3DS",8.41
3,"PRE_OP","CPA",-11.87
4,"PRE_OP","CINJ_W",0.19
5,"PRE_OP","CFpipeCC",8.088e-06
6,"PRE_OP","C2DL",0.96
7,"PRE_OP","CINJ_W_D",1.51497e-04
8,"PRE_OP","CS_W",1.08
9,"PRE_OP","CStr_D",103.02
10,"PRE_OP","CSdrill",7.79
11,"3YR","CASD_ASMWell",4.18e-06
12,"3YR","CASMWell",0.17
13,"3YR","CRdepth_Cdia_Mwells_3R",0.00
14,"3YR","CMwells",0.00
15,"5YR","5YR_IND",0.03
16,"5YR","C3DS_5YR",0.08
17,"5YR","CASMWell_5R",-0.02
18,"EXPENSE","Ind_Exp",0.10
19,"EXPENSE","CDCMW",0.01
20,"EXPENSE","CInj_We",0.06
21,"EXPENSE","CINJ_W_De",8.96859e-03
22,"EXPENSE","CINJ_Re",-0.22
23,"EXPENSE","CMwellse",0.00
24,"EXPENSE","CCO2",0.15
25,"EXPENSE","Casmwelle",0.02
26,"EXPENSE","CW_Plume",0.00
27,"EXPENSE","Cpae",3.0e-03
28,"FinResp","Fin_IND",2.83
29,"FinResp","C3DS_Fin",8.934789e-03
30,"FinResp","CInj_W_Fin",0.06
31,"FinResp","CMwells_Fin",0.00
32,"FinResp","CAsmwell_Fin",0.49
33,"FinResp","CAsd_Asmwell_Fin",-1.68e-07
34,"EXPENSE","CPlumeR",0.00
35,"PRE_OP","CPipeCapCost",7.62e-07
36,"PRE_OP","Cmwells_ASMWell",-6.63
37,"3YR","CAS_ASM",0.14
38,"3YR","CMwells_Rdrill",0.00
39,"3YR","CMwells_Rdepth",0.00
40,"5YR","CResMWells_5R",9.0e-03
41,"EXPENSE","CResMWellse",0.00
42,"FinResp","CResMWells_Fin",-0.45
43,"EXPENSE","CPF1",3.59
44,"EXPENSE","CPRMult",2.53
45,"EXPENSE","CPF2",11.40
46,"EXPENSE","CPF3",4.23
47,"EXPENSE","FCPW1",81600.00
48,"EXPENSE","FCPW2",115370.00
49,"EXPENSE","CPF4",3.10
50,"EXPENSE","CPF5",4.15
51,"EXPENSE","FCPMW1",27950.00
52,"EXPENSE","FCPMW2",2070.00
53,"PRE_OP","C3DS_N",242880.00
54,"PRE_OP","PAM",2.71
